tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MSB1_3B,20,0.9938946331856228,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9961595273264402,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9943870014771048,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9702609551944856,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9846381093057608,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9967503692762186,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_4E,20,0.9648622047244094,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MSB1_4E,20,0.9648622047244094,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MSB1_4E,20,0.9974409448818896,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MSB1_4E,20,0.9997047244094488,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MSB1_4E,20,0.9951771653543308,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_4E,20,0.9908464566929134,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MSB1_4E,20,0.9997047244094488,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MSB1_4E,20,0.9970472440944882,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MSB1_4E,20,0.9960629921259844,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_4E,20,0.9972440944881892,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB1_4E,20,0.9948818897637796,VR50,Snippy / VR50 (NZ_CP011134.1)
